epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.0215,0.25794,0.99854,1,0.00617,0.000549205,0.000549205,0.000549205
2,19.2856,0.01711,1,1,0.00025,0.00106112,0.00106112,0.00106112
3,27.8939,0.02622,0.99634,1,0.01486,0.00152902,0.00152902,0.00152902
4,36.0215,0.02383,0.99854,1,0.00501,0.00146896,0.00146896,0.00146896
5,44.4654,0.01292,1,1,8e-05,0.00140295,0.00140295,0.00140295
6,52.947,0.01706,0.99927,1,0.00204,0.00133693,0.00133693,0.00133693
7,61.1078,0.01349,1,1,0.00024,0.00127092,0.00127092,0.00127092
8,69.3894,0.00638,0.99927,1,0.00175,0.00120491,0.00120491,0.00120491
9,77.6886,0.01265,1,1,0.00038,0.00113889,0.00113889,0.00113889
10,85.9488,0.00582,1,1,5e-05,0.00107288,0.00107288,0.00107288
11,94.1882,0.0057,1,1,1e-05,0.00100687,0.00100687,0.00100687
12,102.484,0.00493,1,1,3e-05,0.000940855,0.000940855,0.000940855
